,Module,Group,Quota,NoofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
123,CH2161,SECTIONAL TEACHING 1,16,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
124,CH2162,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
125,CH2162,LECTURE 1,10,1,1,1,1,ARTS & SOCIAL SCIENCES,New Students [P]
126,CH2162,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
127,CH2223,LECTURE 1,28,1,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P]
128,CH2223,LECTURE 1,10,1,1,1,1,ARTS & SOCIAL SCIENCES,New Students [P]
129,CH2223,LECTURE 1,20,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
130,CH2244,LECTURE 1,10,6,100,1,1000,ARTS & SOCIAL SCIENCES,Returning Students [P]
131,CH2244,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
132,CH2244,LECTURE 1,20,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [G]
133,CH3221,LECTURE 1,7,3,1,1,123,ARTS & SOCIAL SCIENCES,Returning Students [P]
134,CH3221,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
135,CH3221,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
136,CH3225,LECTURE 1,24,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
137,CH3225,LECTURE 1,10,1,1,1,1,ARTS & SOCIAL SCIENCES,New Students [P]
138,CH3225,LECTURE 1,25,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
139,CH3254,SEMINAR-STYLE MODULE CLASS 1,22,3,1,1,100,ARTS & SOCIAL SCIENCES,Returning Students [P]
140,CH3254,SEMINAR-STYLE MODULE CLASS 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
141,CH3254,SEMINAR-STYLE MODULE CLASS 1,25,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
142,CH3261,LECTURE 1,24,2,1,1,100,ARTS & SOCIAL SCIENCES,Returning Students [P]
143,CH3261,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
144,CH3261,LECTURE 1,25,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
145,CH3273,SEMINAR-STYLE MODULE CLASS 1,17,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
146,CH3273,SEMINAR-STYLE MODULE CLASS 1,15,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
147,CH3273,SEMINAR-STYLE MODULE CLASS 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
148,CH4201,LECTURE 1,45,3,11,1,100,ARTS & SOCIAL SCIENCES,Returning Students [P]
149,CH4204,LECTURE 1,44,2,11,1,100,ARTS & SOCIAL SCIENCES,Returning Students [P]
150,CH4226,SEMINAR-STYLE MODULE CLASS 1,28,1,6,1,6,ARTS & SOCIAL SCIENCES,Returning Students [P]
151,CH4246,SEMINAR-STYLE MODULE CLASS 1,26,2,6,1,51,ARTS & SOCIAL SCIENCES,Returning Students [P]
152,CH4261,SEMINAR-STYLE MODULE CLASS 1,24,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
153,CH4882A,SEMINAR-STYLE MODULE CLASS 1,18,3,6,1,51,ARTS & SOCIAL SCIENCES,Returning Students [P]
154,CL1101E,LECTURE 1,19,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
155,CL1101E,LECTURE 1,80,46,1,1,66,ARTS & SOCIAL SCIENCES,New Students [P]
156,CL1101E,LECTURE 1,50,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
157,CL2101,LECTURE 1,13,10,1,1,200,ARTS & SOCIAL SCIENCES,Returning Students [P]
158,CL2101,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
159,CL2101,LECTURE 1,20,0,0,0,0,ARTS & SOCIAL SCIENCES,NUS Students [G]
160,CL2102,LECTURE 1,13,5,1,1,100,ARTS & SOCIAL SCIENCES,Returning Students [P]
161,CL2102,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
162,CL2102,LECTURE 1,20,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
163,CL2121,LECTURE 1,14,1,300,1,300,ARTS & SOCIAL SCIENCES,Returning Students [P]
164,CL2121,LECTURE 1,10,2,1,1,50,ARTS & SOCIAL SCIENCES,New Students [P]
165,CL2121,LECTURE 1,20,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
166,CL2260,LECTURE 1,20,2,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P]
167,CL2260,LECTURE 1,10,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
168,CL2260,LECTURE 1,20,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
169,CL2280,LECTURE 1,50,28,1,1,666,ARTS & SOCIAL SCIENCES,Returning Students [P]
170,CL2280,LECTURE 1,40,10,1,1,50,ARTS & SOCIAL SCIENCES,New Students [P]
