,Module,Group,Quota,No. ofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
905,IT1002,LECTURE 1,52,4,1,1,2000,SCIENCE,Returning Students [P]
906,IT1002,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
907,IT1002,LECTURE 1,95,2,1,1,60,SCIENCE,New Students [P]
908,IT1002,LECTURE 1,5,1,1,1,1,SCHOOL OF COMPUTING,NUS Students [G]
909,IT1003,LECTURE 1,240,0,0,0,0,SCHOOL OF COMPUTING,Reserved for [G] in later round
910,IT1004,LECTURE 1,240,0,0,0,0,SCHOOL OF COMPUTING,Reserved for [G] in later round
911,IT1801,LECTURE 1,240,0,0,0,0,SCHOOL OF COMPUTING,Reserved for [G] in later round
912,IT2002,LECTURE 1,15,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
913,IT2002,LECTURE 1,39,0,0,0,0,SCIENCE,Returning Students [P]
914,IT2002,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
915,IT2002,LECTURE 1,10,0,0,0,0,SCIENCE,New Students [P]
916,IT2002,LECTURE 1,5,0,0,0,0,SCHOOL OF COMPUTING,Reserved for [G] in later round
917,JS1101E,LECTURE 1,1,4,536,2200,2200,ARTS & SOCIAL SCIENCES,Returning Students [P]
918,JS1101E,LECTURE 1,255,309,27,150,598,ARTS & SOCIAL SCIENCES,New Students [P]
919,JS1101E,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
920,JS2213,LECTURE 1,46,27,1,1,1100,ARTS & SOCIAL SCIENCES,Returning Students [P]
921,JS2213,LECTURE 1,20,3,1,1,1,ARTS & SOCIAL SCIENCES,New Students [P]
922,JS2213,LECTURE 1,20,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
923,JS2216,LECTURE 1,62,29,1,1,2618,ARTS & SOCIAL SCIENCES,Returning Students [P]
924,JS2216,LECTURE 1,25,10,1,1,200,ARTS & SOCIAL SCIENCES,New Students [P]
925,JS2216,LECTURE 1,25,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
926,JS2228,LECTURE 1,81,32,1,1,1917,ARTS & SOCIAL SCIENCES,Returning Students [P]
927,JS2228,LECTURE 1,20,7,1,1,13,ARTS & SOCIAL SCIENCES,New Students [P]
928,JS2228,LECTURE 1,30,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
929,JS3210,SEMINAR-STYLE MODULE CLASS 1,9,2,19,1,200,ARTS & SOCIAL SCIENCES,Returning Students [P]
930,JS3210,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
931,JS3210,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
932,JS3214,SEMINAR-STYLE MODULE CLASS 1,5,3,1,1,500,ARTS & SOCIAL SCIENCES,Returning Students [P]
933,JS3214,SEMINAR-STYLE MODULE CLASS 1,2,1,2,1,2,ARTS & SOCIAL SCIENCES,New Students [P]
934,JS3214,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
935,JS3227,SEMINAR-STYLE MODULE CLASS 1,10,1,500,1,500,ARTS & SOCIAL SCIENCES,Returning Students [P]
936,JS3227,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
937,JS3227,SEMINAR-STYLE MODULE CLASS 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
938,JS4207,SEMINAR-STYLE MODULE CLASS 1,8,1,10,1,10,ARTS & SOCIAL SCIENCES,Returning Students [P]
939,JS4216,SEMINAR-STYLE MODULE CLASS 1,7,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
940,JS4221,SEMINAR-STYLE MODULE CLASS 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
941,JS4225,SEMINAR-STYLE MODULE CLASS 1,8,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
942,LAB1201,LECTURE 1,80,36,1,1,1000,ARTS & SOCIAL SCIENCES,Returning Students [P]
943,LAB1201,LECTURE 1,50,7,1,1,10,ARTS & SOCIAL SCIENCES,New Students [P]
944,LAB1201,LECTURE 1,70,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
945,LAB2201,LECTURE 1,39,12,1,1,1000,ARTS & SOCIAL SCIENCES,Returning Students [P]
946,LAB2201,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
