,Module,Group,Quota,No. ofBidders,LowestBid,LowestSuccBid,HighestBid,Faculty,Student Type[Acct Type]
1078,LAG2201,LECTURE 3,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1079,LAG2201,LECTURE 3,8,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1080,LAG2201,LECTURE 4,10,3,1,1,259,ARTS & SOCIAL SCIENCES,Returning Students [P]
1081,LAG2201,LECTURE 4,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1082,LAG2201,LECTURE 4,8,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1083,LAG3201,LECTURE 1,6,2,28,1,1270,ARTS & SOCIAL SCIENCES,Returning Students [P]
1084,LAG3201,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1085,LAG3201,LECTURE 1,4,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1086,LAG3201,LECTURE 2,4,3,1,1,101,ARTS & SOCIAL SCIENCES,Returning Students [P]
1087,LAG3201,LECTURE 2,2,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1088,LAG3201,LECTURE 2,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1089,LAG3201,LECTURE 3,6,2,1,1,1,ARTS & SOCIAL SCIENCES,Returning Students [P]
1090,LAG3201,LECTURE 3,2,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1091,LAG3201,LECTURE 3,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1092,LAG3201,LECTURE 4,6,6,1,1,2460,ARTS & SOCIAL SCIENCES,Returning Students [P]
1093,LAG3201,LECTURE 4,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1094,LAG3201,LECTURE 4,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1095,LAG4201,LECTURE 1,6,5,1,1,2745,ARTS & SOCIAL SCIENCES,Returning Students [P]
1096,LAG4201,LECTURE 1,7,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1097,LAG4201,LECTURE 1,6,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1098,LAJ1201,LECTURE 1,14,17,450,673,2100,ARTS & SOCIAL SCIENCES,Returning Students [P]
1099,LAJ1201,LECTURE 1,85,71,1,1,350,ARTS & SOCIAL SCIENCES,New Students [P]
1100,LAJ1201,LECTURE 1,95,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1101,LAJ1201,LECTURE 2,15,21,1,300,2500,ARTS & SOCIAL SCIENCES,Returning Students [P]
1102,LAJ1201,LECTURE 2,85,21,1,1,105,ARTS & SOCIAL SCIENCES,New Students [P]
1103,LAJ1201,LECTURE 2,95,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1104,LAJ2201,LECTURE 1,22,26,1,388,1500,ARTS & SOCIAL SCIENCES,Returning Students [P]
1105,LAJ2201,LECTURE 1,20,2,1,1,33,ARTS & SOCIAL SCIENCES,New Students [P]
1106,LAJ2201,LECTURE 1,45,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1107,LAJ2201,LECTURE 2,23,21,1,1,1304,ARTS & SOCIAL SCIENCES,Returning Students [P]
1108,LAJ2201,LECTURE 2,20,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1109,LAJ2201,LECTURE 2,45,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1110,LAJ2202,LECTURE 1,39,41,7,50,1689,ARTS & SOCIAL SCIENCES,Returning Students [P]
1111,LAJ2202,LECTURE 1,20,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1112,LAJ2202,LECTURE 1,50,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1113,LAJ2203,LECTURE 1,26,16,50,1,2292,ARTS & SOCIAL SCIENCES,Returning Students [P]
1114,LAJ2203,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1115,LAJ2203,LECTURE 1,25,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1116,LAJ3201,LECTURE 1,18,9,1,1,1183,ARTS & SOCIAL SCIENCES,Returning Students [P]
1117,LAJ3201,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1118,LAJ3201,LECTURE 1,21,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1119,LAJ3203,LECTURE 1,11,3,1,1,1000,ARTS & SOCIAL SCIENCES,Returning Students [P]
1120,LAJ3203,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1121,LAJ3203,LECTURE 1,14,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1122,LAL1201,LECTURE 1,10,1,50,1,50,ARTS & SOCIAL SCIENCES,Returning Students [P]
1123,LAL1201,LECTURE 1,10,2,1,1,10,ARTS & SOCIAL SCIENCES,New Students [P]
1124,LAL1201,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1125,LAL2201,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1126,LAL2201,LECTURE 1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1127,LAL2201,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1128,LAM1201,LECTURE 1,50,50,6,1,1500,ARTS & SOCIAL SCIENCES,Returning Students [P]
1129,LAM1201,LECTURE 1,20,4,1,1,1,ARTS & SOCIAL SCIENCES,New Students [P]
1130,LAM1201,LECTURE 1,55,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1131,LAM2201,LECTURE 1,12,6,1,1,1000,ARTS & SOCIAL SCIENCES,Returning Students [P]
1132,LAM2201,LECTURE 1,13,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1133,LAM2201,LECTURE 1,14,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1134,LAM3201,LECTURE 1,8,2,12,1,100,ARTS & SOCIAL SCIENCES,Returning Students [P]
1135,LAM3201,LECTURE 1,4,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1136,LAM3201,LECTURE 1,6,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1137,LAT1201,LECTURE 1,46,20,1,1,1239,ARTS & SOCIAL SCIENCES,Returning Students [P]
1138,LAT1201,LECTURE 1,50,5,1,1,1,ARTS & SOCIAL SCIENCES,New Students [P]
1139,LAT1201,LECTURE 1,50,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1140,LAT2201,LECTURE 1,36,12,1,1,1900,ARTS & SOCIAL SCIENCES,Returning Students [P]
1141,LAT2201,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1142,LAT2201,LECTURE 1,34,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1143,LAT3201,LECTURE 1,29,5,1,1,100,ARTS & SOCIAL SCIENCES,Returning Students [P]
1144,LAT3201,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1145,LAT3201,LECTURE 1,20,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1146,LAT3202,LECTURE 1,5,3,282,1,1100,ARTS & SOCIAL SCIENCES,Returning Students [P]
1147,LAT3202,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1148,LAT3202,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1149,LAT4201,LECTURE 1,5,4,1,1,1617,ARTS & SOCIAL SCIENCES,Returning Students [P]
1150,LAT4201,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1151,LAT4201,LECTURE 1,4,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1152,LAV1201,LECTURE 1,12,5,1,1,50,ARTS & SOCIAL SCIENCES,Returning Students [P]
1153,LAV1201,LECTURE 1,12,2,1,1,1,ARTS & SOCIAL SCIENCES,New Students [P]
1154,LAV1201,LECTURE 1,30,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1155,LAV2201,LECTURE 1,2,2,7,1,879,ARTS & SOCIAL SCIENCES,Returning Students [P]
1156,LAV2201,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1157,LAV2201,LECTURE 1,12,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1158,LAV3201,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1159,LAV3201,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1160,LAV3201,LECTURE 1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1161,LAV3202,LECTURE 1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1162,LAV3202,LECTURE 1,1,0,0,0,0,ARTS & SOCIAL SCIENCES,New Students [P]
1163,LAV3202,LECTURE 1,6,0,0,0,0,ARTS & SOCIAL SCIENCES,Reserved for [G] in later round
1164,LL4023,SEMINAR-STYLE MODULE CLASS 1,5,0,0,0,0,UNIVERSITY SCHOLARS PROGRAMME,Returning Students [P]
1165,LL4031,SEMINAR-STYLE MODULE CLASS 1,5,0,0,0,0,UNIVERSITY SCHOLARS PROGRAMME,Returning Students [P]
1166,LSM1201,LECTURE SL1,100,104,1,1,597,SCIENCE,New Students [P]
1167,LSM1301,LECTURE SL1,40,32,1,1,550,SCIENCE,New Students [P]
1168,LSM1301,LECTURE SL1,255,0,0,0,0,SCIENCE,Reserved for [G] in later round
1169,LSM1301,LECTURE SL2,22,1,1,1,1,SCIENCE,Returning Students [P]
1170,LSM1301,LECTURE SL2,30,16,1,1,31,SCIENCE,New Students [P]
1171,LSM1301,LECTURE SL2,305,0,0,0,0,SCIENCE,Reserved for [G] in later round
1172,LSM1302,LECTURE SL1,7,2,50,1,100,SCHOOL OF COMPUTING,Returning Students [P]
1173,LSM1302,LECTURE SL1,20,7,12,1,30,SCIENCE,New Students [P]
1174,LSM1302,LECTURE SL1,25,27,1,5,153,SCHOOL OF COMPUTING,New Students [P]
1175,LSM1302,LECTURE SL2,5,1,1,1,1,SCIENCE,Returning Students [P]
1176,LSM1302,LECTURE SL2,10,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
1177,LSM1302,LECTURE SL2,10,12,47,51,202,SCIENCE,New Students [P]
1178,LSM1302,LECTURE SL2,20,8,1,1,200,SCHOOL OF COMPUTING,New Students [P]
1179,LSM1304,LECTURE SL1,15,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
1180,LSM1304,LECTURE SL1,15,2,1,1,50,SCIENCE,New Students [P]
1181,LSM1304,LECTURE SL1,20,1,10,1,10,SCHOOL OF COMPUTING,New Students [P]
1182,LSM1304,LECTURE SL1,80,0,0,0,0,SCIENCE,Reserved for [G] in later round
1183,LSM1401,LECTURE SL1,151,6,1,1,5,ENGINEERING,Returning Students [P]
1184,LSM2201,LECTURE SL1,110,6,1,1,500,SCIENCE,Returning Students [P]
1185,LSM3211,LECTURE SL1,63,13,1,1,700,SCIENCE,Returning Students [P]
1186,LSM3212,LECTURE SL1,1,5,1,2756,2756,SCIENCE,Returning Students [P]
1187,LSM3231,LECTURE SL1,28,9,1,1,2975,SCIENCE,Returning Students [P]
1188,LSM3232,LECTURE SL1,4,6,600,999,1632,SCIENCE,Returning Students [P]
1189,LSM3233,LECTURE SL1,50,11,1,1,1005,SCIENCE,Returning Students [P]
1190,LSM3244,LECTURE SL1,36,8,1,1,500,SCIENCE,Returning Students [P]
1191,LSM3251,LECTURE SL1,1,8,1,2389,2389,SCIENCE,Returning Students [P]
1192,LSM3252,LECTURE SL1,36,4,1,1,201,SCIENCE,Returning Students [P]
1193,LSM3261,LECTURE SL1,38,9,1,1,1000,SCIENCE,Returning Students [P]
1194,LSM3401B,LECTURE SL1,4,0,0,0,0,ENGINEERING,Returning Students [P]
1195,LSM4211,LECTURE SL1,1,6,50,2501,2501,SCIENCE,Returning Students [P]
1196,LSM4213,LECTURE SL1,73,0,0,0,0,SCIENCE,Returning Students [P]
1197,LSM4222,LECTURE SL1,13,2,2,1,500,SCIENCE,Returning Students [P]
1198,LSM4232,LECTURE SL1,66,5,1,1,200,SCIENCE,Returning Students [P]
1199,LSM4241,LECTURE SL1,29,3,1,1,200,SCIENCE,Returning Students [P]
1200,LSM4242,LECTURE SL1,14,4,100,1,1500,SCIENCE,Returning Students [P]
1201,LSM4251,LECTURE SL1,10,0,0,0,0,SCIENCE,Returning Students [P]
1202,LSM4252,LECTURE SL1,42,1,621,1,621,SCIENCE,Returning Students [P]
1203,LSM4261,LECTURE SL1,1,2,300,400,400,SCIENCE,Returning Students [P]
1204,MA1100,LECTURE SL1,290,169,1,1,300,SCIENCE,New Students [P]
1205,MA1100,LECTURE SL1,20,0,0,0,0,SCHOOL OF COMPUTING,New Students [P]
1206,MA1101R,LECTURE SL1,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1207,MA1101R,LECTURE SL1,10,4,1,1,100,SCIENCE,Returning Students [P]
1208,MA1101R,LECTURE SL1,12,2,1,1,1,SCHOOL OF COMPUTING,Returning Students [P]
1209,MA1101R,LECTURE SL1,115,106,1,1,300,SCIENCE,New Students [P]
1210,MA1101R,LECTURE SL1,75,34,1,1,128,SCHOOL OF COMPUTING,New Students [P]
1211,MA1101R,LECTURE SL2,2,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1212,MA1101R,LECTURE SL2,7,1,1,1,1,SCIENCE,Returning Students [P]
1213,MA1101R,LECTURE SL2,69,1,100,1,100,SCHOOL OF COMPUTING,Returning Students [P]
1214,MA1101R,LECTURE SL2,115,156,4,200,594,SCIENCE,New Students [P]
1215,MA1101R,LECTURE SL2,50,15,1,1,121,SCHOOL OF COMPUTING,New Students [P]
1216,MA1102R,LECTURE SL1,9,4,1,1,500,SCIENCE,Returning Students [P]
1217,MA1102R,LECTURE SL1,200,185,1,1,400,SCIENCE,New Students [P]
1218,MA1102R,LECTURE SL2,11,11,1,1,1253,SCIENCE,Returning Students [P]
1219,MA1102R,LECTURE SL2,200,126,1,1,397,SCIENCE,New Students [P]
1220,MA1104,LECTURE SL1,53,13,1,1,1000,SCIENCE,Returning Students [P]
1221,MA1104,LECTURE SL1,50,16,1,1,50,SCIENCE,New Students [P]
1222,MA1301,LECTURE SL1,5,0,0,0,0,SCIENCE,Returning Students [P]
1223,MA1301,LECTURE SL1,20,2,1,1,343,SCHOOL OF COMPUTING,Returning Students [P]
1224,MA1301,LECTURE SL1,95,0,0,0,0,SCIENCE,New Students [P]
1225,MA1301,LECTURE SL1,180,81,1,1,100,SCHOOL OF COMPUTING,New Students [P]
1226,MA1311,LECTURE SL1,1,0,0,0,0,SCIENCE,Returning Students [P]
1227,MA1311,LECTURE SL1,95,1,1,1,1,SCIENCE,New Students [P]
1228,MA1421,LECTURE SL1,290,279,1,1,338,SCIENCE,New Students [P]
1229,MA1505,LECTURE SL1,4,5,300,350,1166,SCHOOL OF COMPUTING,Returning Students [P]
1230,MA1505,LECTURE SL1,100,63,1,1,200,SCIENCE,New Students [P]
1231,MA1505,LECTURE SL1,220,126,1,1,300,SCHOOL OF COMPUTING,New Students [P]
1232,MA1506,LECTURE SL1,48,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
1233,MA1506,LECTURE SL1,20,1,1,1,1,SCIENCE,New Students [P]
1234,MA1506,LECTURE SL1,10,1,1,1,1,SCHOOL OF COMPUTING,New Students [P]
1235,MA2101,LECTURE SL1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1236,MA2101,LECTURE SL1,33,9,1,1,600,SCIENCE,Returning Students [P]
1237,MA2108,LECTURE SL1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1238,MA2108,LECTURE SL1,56,7,1,1,503,SCIENCE,Returning Students [P]
1239,MA2213,LECTURE SL1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1240,MA2213,LECTURE SL1,33,9,1,1,500,SCIENCE,Returning Students [P]
1241,MA2215,LECTURE SL1,4,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1242,MA2215,LECTURE SL1,143,12,1,1,1000,SCIENCE,Returning Students [P]
1243,MA2216,LECTURE SL1,80,14,1,1,2069,SCIENCE,Returning Students [P]
1244,MA2222,LECTURE SL1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1245,MA2222,LECTURE SL1,187,40,1,1,2000,SCIENCE,Returning Students [P]
1246,MA2311,LECTURE SL1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1247,MA2311,LECTURE SL1,27,0,0,0,0,SCIENCE,Returning Students [P]
1248,MA3110,LECTURE SL1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1249,MA3110,LECTURE SL1,68,4,1,1,1000,SCIENCE,Returning Students [P]
1250,MA3111,LECTURE SL1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1251,MA3111,LECTURE SL1,91,7,1,1,1000,SCIENCE,Returning Students [P]
1252,MA3205,LECTURE SL1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1253,MA3205,LECTURE SL1,20,1,100,1,100,SCIENCE,Returning Students [P]
1254,MA3209,LECTURE SL1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1255,MA3209,LECTURE SL1,36,1,1,1,1,SCIENCE,Returning Students [P]
1256,MA3218,LECTURE SL1,37,7,1,1,2131,SCIENCE,Returning Students [P]
1257,MA3220,LECTURE SL1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1258,MA3220,LECTURE SL1,53,9,1,1,875,SCIENCE,Returning Students [P]
1259,MA3236,LECTURE SL1,5,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1260,MA3236,LECTURE SL1,120,2,100,1,100,SCIENCE,Returning Students [P]
1261,MA3238,LECTURE SL1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1262,MA3248,LECTURE SL1,3,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1263,MA3248,LECTURE SL1,25,6,1,1,500,SCIENCE,Returning Students [P]
1264,MA3249,LECTURE SL1,4,0,0,0,0,ARTS & SOCIAL SCIENCES,Returning Students [P]
1265,MA3249,LECTURE SL1,52,8,1,1,101,SCIENCE,Returning Students [P]
1266,MA4203,LECTURE SL1,35,0,0,0,0,SCIENCE,Returning Students [P]
1267,MA4229,LECTURE SL1,35,1,1,1,1,SCIENCE,Returning Students [P]
1268,MA4230,LECTURE SL1,29,3,1,1,3322,SCIENCE,Returning Students [P]
1269,MA4247,LECTURE SL1,21,1,1,1,1,SCIENCE,Returning Students [P]
1270,MA4252,LECTURE SL1,20,0,0,0,0,SCIENCE,Returning Students [P]
1271,MA4257,LECTURE SL1,44,4,21,1,1000,SCIENCE,Returning Students [P]
1272,MA4260,LECTURE SL1,49,0,0,0,0,SCIENCE,Returning Students [P]
1273,MA4261,LECTURE SL1,40,0,0,0,0,SCIENCE,Returning Students [P]
1274,MA4262,LECTURE SL1,32,2,1,1,500,SCIENCE,Returning Students [P]
1275,MA5203,LECTURE SL1,8,0,0,0,0,SCIENCE,Returning Students [P]
1276,MA5205,LECTURE SL1,8,0,0,0,0,SCIENCE,Returning Students [P]
1277,MA5209,LECTURE SL1,9,1,1,1,1,SCIENCE,Returning Students [P]
1278,MA5219,LECTURE SL1,8,0,0,0,0,SCIENCE,Returning Students [P]
1279,MA5233,LECTURE SL1,10,0,0,0,0,SCIENCE,Returning Students [P]
1280,MA5243,LECTURE SL1,9,0,0,0,0,SCIENCE,Returning Students [P]
1281,MA5248,LECTURE SL1,10,1,1,1,1,SCIENCE,Returning Students [P]
1282,ME2103,LECTURE 1,34,8,1,1,1500,ENGINEERING,Returning Students [P]
1283,ME2103,LECTURE 1,10,1,50,1,50,ENGINEERING,New Students [P]
1284,ME2103,LECTURE 1,35,11,1,1,80,SCHOOL OF DESIGN AND ENVIRONMENT,New Students [P]
1285,ME2103,LECTURE 1,50,0,0,0,0,ENGINEERING,Reserved for [G] in later round
1286,ME2113,LECTURE 1,35,6,1,1,1,ENGINEERING,Returning Students [P]
1287,ME2113,LECTURE 1,70,45,1,1,70,ENGINEERING,New Students [P]
1288,ME2113,LECTURE 1,20,0,0,0,0,ENGINEERING,Reserved for [G] in later round
1289,ME2121,LECTURE 1,10,10,1,1,501,ENGINEERING,Returning Students [P]
1290,ME2121,LECTURE 1,20,1,50,1,50,ENGINEERING,New Students [P]
1291,ME2121E,LECTURE 1,166,1,1,1,1,ENGINEERING,Returning Students [P]
1292,ME2121E,LECTURE 1,50,110,1,6,400,ENGINEERING,New Students [P]
1293,ME2134,LECTURE 1,19,8,1,1,8,ENGINEERING,Returning Students [P]
1294,ME2134,LECTURE 1,70,45,1,1,70,ENGINEERING,New Students [P]
1295,ME2134,LECTURE 1,10,0,0,0,0,ENGINEERING,Reserved for [G] in later round
1296,ME2143,LECTURE 1,40,8,1,1,3,ENGINEERING,Returning Students [P]
1297,ME2143,LECTURE 1,70,41,1,1,50,ENGINEERING,New Students [P]
1298,ME2151,LECTURE 1,29,7,1,1,200,ENGINEERING,Returning Students [P]
1299,ME2151,LECTURE 1,5,0,0,0,0,ENGINEERING,New Students [P]
1300,ME2151,LECTURE 1,20,0,0,0,0,ENGINEERING,Reserved for [G] in later round
1301,ME2151E,LECTURE 1,269,1,1,1,1,ENGINEERING,Returning Students [P]
1302,ME2151E,LECTURE 1,50,114,1,10,500,ENGINEERING,New Students [P]
1303,ME3101,LECTURE 1,48,5,1,1,1,ENGINEERING,Returning Students [P]
1304,ME3101,LECTURE 1,5,0,0,0,0,ENGINEERING,New Students [P]
1305,ME3112,LECTURE 1,43,5,1,1,3812,ENGINEERING,Returning Students [P]
1306,ME3112,LECTURE 1,5,0,0,0,0,ENGINEERING,New Students [P]
1307,ME3122,LECTURE 1,53,7,1,1,1,ENGINEERING,Returning Students [P]
1308,ME3122,LECTURE 1,5,0,0,0,0,ENGINEERING,New Students [P]
1309,ME3162,LECTURE 1,32,6,1,1,10,ENGINEERING,Returning Students [P]
1310,ME3162,LECTURE 1,5,0,0,0,0,ENGINEERING,New Students [P]
1311,ME3211,LECTURE 1,64,1,1,1,1,ENGINEERING,Returning Students [P]
1312,ME3242,LECTURE 1,200,1,1,1,1,ENGINEERING,Returning Students [P]
1313,ME3261,LECTURE 1,42,1,1000,1,1000,ENGINEERING,Returning Students [P]
1314,ME3263,LECTURE 1,126,5,1,1,100,ENGINEERING,Returning Students [P]
1315,ME4101A,LECTURE 1,105,7,1,1,10,ENGINEERING,Returning Students [P]
1316,ME4211,LECTURE 1,37,0,0,0,0,ENGINEERING,Returning Students [P]
1317,ME4223,LECTURE 1,38,0,0,0,0,ENGINEERING,Returning Students [P]
1318,ME4226,LECTURE 1,50,0,0,0,0,ENGINEERING,Returning Students [P]
1319,ME4233,LECTURE 1,25,1,1,1,1,ENGINEERING,Returning Students [P]
1320,ME4234,LECTURE 1,12,1,2,1,2,ENGINEERING,Returning Students [P]
1321,ME4245,LECTURE 1,77,3,1,1,904,ENGINEERING,Returning Students [P]
1322,ME4251,LECTURE 1,50,3,1,1,500,ENGINEERING,Returning Students [P]
1323,ME4254,LECTURE 1,13,5,1,1,2000,ENGINEERING,Returning Students [P]
1324,ME4283,LECTURE 1,55,1,100,1,100,ENGINEERING,Returning Students [P]
1325,ME4293,LECTURE 1,30,0,0,0,0,ENGINEERING,Returning Students [P]
1326,MKT1003,LECTURE C1,9,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1327,MKT1003,LECTURE C1,10,5,5,1,65,SCIENCE,New Students [P]
1328,MKT1003,LECTURE C1,14,24,1,200,746,ENGINEERING,New Students [P]
1329,MKT1003,LECTURE C1,15,10,1,1,200,SCHOOL OF COMPUTING,New Students [P]
1330,MKT1003,LECTURE C1,35,11,1,1,400,SCHOOL OF BUSINESS,New Students [P]
1331,MKT1003,LECTURE C1,11,11,2,1,610,SCHOOL OF BUSINESS,NUS Students [G]
1332,MKT1003,LECTURE C2,7,4,2,1,2000,SCHOOL OF COMPUTING,Returning Students [P]
1333,MKT1003,LECTURE C2,11,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1334,MKT1003,LECTURE C2,10,2,1,1,248,SCIENCE,New Students [P]
1335,MKT1003,LECTURE C2,13,12,1,1,400,ENGINEERING,New Students [P]
1336,MKT1003,LECTURE C2,12,1,3,1,3,SCHOOL OF COMPUTING,New Students [P]
1337,MKT1003,LECTURE C2,35,5,2,1,152,SCHOOL OF BUSINESS,New Students [P]
1338,MKT1003,LECTURE C2,11,10,2,1,300,SCHOOL OF BUSINESS,NUS Students [G]
1339,MKT1003,LECTURE C3,7,3,1,1,1700,SCHOOL OF COMPUTING,Returning Students [P]
1340,MKT1003,LECTURE C3,24,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1341,MKT1003,LECTURE C3,10,4,9,1,100,SCIENCE,New Students [P]
1342,MKT1003,LECTURE C3,13,24,5,300,747,ENGINEERING,New Students [P]
1343,MKT1003,LECTURE C3,13,2,1,1,50,SCHOOL OF COMPUTING,New Students [P]
1344,MKT1003,LECTURE C3,36,1,1,1,1,SCHOOL OF BUSINESS,New Students [P]
1345,MKT1003,LECTURE C3,12,8,1,1,103,SCHOOL OF BUSINESS,NUS Students [G]
1346,MKT2401,SECTIONAL TEACHING A1,14,13,10,1,912,SCHOOL OF BUSINESS,NUS Students [G]
1347,MKT2401,SECTIONAL TEACHING A2,13,13,5,1,1202,SCHOOL OF BUSINESS,NUS Students [G]
1348,MKT2401,SECTIONAL TEACHING A3,13,12,1,1,500,SCHOOL OF BUSINESS,NUS Students [G]
1349,MKT2411,SECTIONAL TEACHING B1,2,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
1350,MKT2411,SECTIONAL TEACHING B2,3,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
1351,MKT2412,SECTIONAL TEACHING C1,5,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
1352,MKT2412,SECTIONAL TEACHING C2,5,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
1353,MKT2413,SECTIONAL TEACHING D1,5,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
1354,MKT2413,SECTIONAL TEACHING D2,21,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1355,MKT2413,SECTIONAL TEACHING D2,5,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
1356,MKT2413,SECTIONAL TEACHING D3,28,0,0,0,0,SCHOOL OF BUSINESS,Returning Students [P]
1357,MKT2413,SECTIONAL TEACHING D3,5,0,0,0,0,SCHOOL OF BUSINESS,Reserved for [G] in later round
1358,MKT3402,SECTIONAL TEACHING E1,5,0,0,0,0,SCIENCE,Returning Students [P]
1359,MKT3402,SECTIONAL TEACHING E1,4,0,0,0,0,SCHOOL OF COMPUTING,Returning Students [P]
